"99","2017-06-16 20:19:21.527000","5.60","E.A.Cables Ltd Ord 0.50"
"100","2017-06-16 20:19:21.809000","28.00","E.A.Portland Cement Ltd Ord 5.00"
"101","2017-06-16 20:19:22.536000","8.60","KenGen Ltd  Ord. 2.50"
"102","2017-06-16 20:19:23.025000","12.80","KenolKobil Ltd Ord 0.05"
"103","2017-06-16 20:19:23.197000","7.95","Kenya Power & Lighting  Co Ltd"
"104","2017-06-16 20:19:23.345000","20.50","Total Kenya Ltd Ord 5.00"
"105","2017-06-16 20:19:23.508000","14.00","Umeme Ltd Ord 0.50"
"106","2017-06-16 20:19:23.667000","13.00","Britam Holdings Ltd Ord 0.10"
"107","2017-06-16 20:19:23.828000","11.00","Liberty Kenya Holdings Ltd"
"108","2017-06-16 20:19:24.010000","3.85","CIC Insurance Group Ltd Ord 1.00"
"109","2017-06-16 20:19:24.203000","430.00","Jubilee Holdings Ltd Ord 5.00"
"110","2017-06-16 20:19:24.341000","20.75","Kenya Re-Insurance Corporation Ltd Ord 2.50"
"111","2017-06-16 20:19:24.524000","29.00","Pan Africa Insurance Holdings Ltd 0rd 5.00"
"112","2017-06-16 20:19:24.708000","41.25","Centum Investment Co Ltd Ord 0.50"
"113","2017-06-16 20:19:24.911000","0.80","Home Afrika Ltd Ord 1.00"
"114","2017-06-16 20:19:25.082000","1,500.00","Kurwitu Ventures"
"115","2017-06-16 20:19:25.253000","2.45","Olympia Capital Holdings ltd Ord 5.00"
"116","2017-06-16 20:19:25.425000","6.80","Trans-Century Ltd"
"117","2017-06-16 20:19:25.586000","15.80","Nairobi Securities Exchange Ltd Ord 4.00"
"118","2017-06-16 20:19:25.724000","11.10","A.Baumann CO Ltd Ord 5.00"
"119","2017-06-16 20:19:25.918000","90.00","B.O.C Kenya Ltd Ord 5.00"
"120","2017-06-16 20:19:26.121000","795.00","British American Tobacco Kenya Ltd Ord 10.00"
"121","2017-06-16 20:19:26.304000","12.85","Carbacid Investments Ltd Ord 5.00"
"122","2017-06-16 20:19:26.510000","256.00","East African Breweries Ltd Ord 2.00"
"123","2017-06-16 20:19:26.724000","2.45","Eveready East Africa Ltd Ord.1.00"
"124","2017-06-16 20:19:26.929000","5.35","Flame Tree Group Holdings Ltd Ord 0.825"
"125","2017-06-16 20:19:27.099000","97.00","Kenya Orchards Ltd Ord 5.00"
"126","2017-06-16 20:19:27.229000","1.15","Mumias Sugar Co. Ltd Ord 2.00"
"127","2017-06-16 20:19:27.400000","32.00","Unga Group Ltd Ord 5.00"
"128","2017-06-16 20:19:27.612000","23.50","Safaricom Ltd Ord 0.05"
"129","2017-06-16 20:19:27.820000","12.20","Stanlib Fahari I-REIT"
"130","2017-06-16 20:19:27.979000","1,246.00","New Gold Issuer (RP) Ltd"
"131","2017-06-16 20:28:33.894000","27.50","Eaagads Ltd Ord 1.25 AIMS"
"132","2017-06-16 20:28:34.026000","294.00","Kakuzi Ord.5.00"
"133","2017-06-16 20:28:34.163000","600.00","Limuru Tea Co. Ltd Ord 20.00"
"134","2017-06-16 20:28:34.291000","27.50","Rea Vipingo Plantations Ltd Ord 5.00"
"135","2017-06-16 20:28:34.429000","25.75","Sasini Ltd Ord 1.00"
"136","2017-06-16 20:28:34.556000","190.00","Williamson Tea Kenya Ltd Ord 5.00"
"137","2017-06-16 20:28:34.673000","20.00","Car and General (K) Ltd Ord 5.00"
"138","2017-06-16 20:28:34.789000","11.80","Marshalls (E.A.) Ltd Ord 5.00"
"139","2017-06-16 20:28:34.919000","2.65","Sameer Africa Ltd Ord 5.00"
"140","2017-06-16 20:28:35.034000","9.60","Barclays Bank Ltd Ord 0.50"
"141","2017-06-16 20:28:35.161000","71.50","CFC Stanbic Holdings Ltd ord.5.00"
"142","2017-06-16 20:28:35.289000","152.00","Diamond Trust Bank Kenya Ltd Ord 4.00"
"143","2017-06-16 20:28:35.407000","39.00","Equity Group Holdings Ord 0.50"
"144","2017-06-16 20:28:35.531000","10.35","HF Group Ltd Ord 5.00"
"145","2017-06-16 20:28:35.661000","101.00","I&M; Holdings Ltd Ord 1.00"
"146","2017-06-16 20:28:35.787000","37.00","KCB Group Ltd Ord 1.00"
"147","2017-06-16 20:28:35.916000","9.85","National Bank of Kenya Ltd Ord 5.00"
"148","2017-06-16 20:28:36.042000","33.50","NIC Bank Ltd 0rd 5.00"
"149","2017-06-16 20:28:36.169000","207.00","Standard Chartered Bank Ltd Ord 5.00"
"150","2017-06-16 20:28:36.275000","17.20","The Co-operative Bank of Kenya Ltd Ord 1.00"
"151","2017-06-16 20:28:36.381000","1.05","Atlas Development and Support Services"
"152","2017-06-16 20:28:36.505000","3.25","Express Ltd Ord 5.00"
"153","2017-06-16 20:28:36.626000","20.25","Hutchings Biemer Ltd Ord 5.00"
"154","2017-06-16 20:28:36.740000","5.70","Kenya Airways Ltd Ord 5.00"
"155","2017-06-16 20:28:36.865000","5.30","Longhorn Publishers Ltd"
"156","2017-06-16 20:28:36.982000","105.00","Nation Media Group Ord. 2.50"
"157","2017-06-16 20:28:37.113000","18.70","Scangroup  Ltd Ord 1.00"
"158","2017-06-16 20:28:37.241000","36.50","Standard Group  Ltd Ord 5.00"
"159","2017-06-16 20:28:37.366000","25.50","TPS Eastern Africa (Serena) Ltd Ord 1.00"
"160","2017-06-16 20:28:37.837000","2.20","Uchumi Supermarket Ltd Ord 5.00"
"161","2017-06-16 20:28:37.964000","21.00","Athi River Mining Ord 5.00"
"162","2017-06-16 20:28:38.073000","167.00","Bamburi Cement Ltd Ord 5.00"
"163","2017-06-16 20:28:38.205000","57.00","Crown Berger Ltd 0rd 5.00"
"164","2017-06-16 20:28:38.329000","5.60","E.A.Cables Ltd Ord 0.50"
"165","2017-06-16 20:28:38.452000","28.00","E.A.Portland Cement Ltd Ord 5.00"
"166","2017-06-16 20:28:38.594000","8.60","KenGen Ltd  Ord. 2.50"
"167","2017-06-16 20:28:38.699000","12.80","KenolKobil Ltd Ord 0.05"
"168","2017-06-16 20:28:38.816000","7.95","Kenya Power & Lighting  Co Ltd"
"169","2017-06-16 20:28:38.939000","20.50","Total Kenya Ltd Ord 5.00"
"170","2017-06-16 20:28:39.082000","14.00","Umeme Ltd Ord 0.50"
"171","2017-06-16 20:28:39.209000","13.00","Britam Holdings Ltd Ord 0.10"
"172","2017-06-16 20:28:39.337000","11.00","Liberty Kenya Holdings Ltd"
"173","2017-06-16 20:28:39.472000","3.85","CIC Insurance Group Ltd Ord 1.00"
"174","2017-06-16 20:28:39.639000","430.00","Jubilee Holdings Ltd Ord 5.00"
"175","2017-06-16 20:28:39.758000","20.75","Kenya Re-Insurance Corporation Ltd Ord 2.50"
"176","2017-06-16 20:28:39.970000","29.00","Pan Africa Insurance Holdings Ltd 0rd 5.00"
"177","2017-06-16 20:28:40.146000","41.25","Centum Investment Co Ltd Ord 0.50"
"178","2017-06-16 20:28:40.291000","0.80","Home Afrika Ltd Ord 1.00"
"179","2017-06-16 20:28:40.424000","1,500.00","Kurwitu Ventures"
"180","2017-06-16 20:28:40.548000","2.45","Olympia Capital Holdings ltd Ord 5.00"
"181","2017-06-16 20:28:40.678000","6.80","Trans-Century Ltd"
